model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN
qwen3_30b,ObfuscationDetectionV2,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV2,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV2,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV2,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV2,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
qwen3_30b,ObfuscationDetectionV3,0.2,0.9,0.77,0.83,0.89,-0.12,69,1,8,21
qwen3_30b,ObfuscationDetectionV3,0.3,1.0,0.04,0.09,0.0,0.04,4,9,0,86
qwen3_30b,ObfuscationDetectionV3,0.4,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90
qwen3_30b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
gpt-oss_20b,ObfuscationDetectionV1,0.1,1.0,0.54,0.7,0.0,0.54,43,7,0,37
gpt-oss_20b,ObfuscationDetectionV1,0.2,1.0,0.49,0.66,0.0,0.49,39,7,0,41
gpt-oss_20b,ObfuscationDetectionV1,0.3,1.0,0.36,0.53,0.0,0.36,29,7,0,51
gpt-oss_20b,ObfuscationDetectionV1,0.4,1.0,0.34,0.5,0.0,0.34,27,7,0,53
gpt-oss_20b,ObfuscationDetectionV1,0.5,1.0,0.2,0.33,0.0,0.2,16,7,0,64
gpt-oss_20b,ObfuscationDetectionV1,0.6,1.0,0.16,0.28,0.0,0.16,13,7,0,67
gpt-oss_20b,ObfuscationDetectionV1,0.7,1.0,0.12,0.22,0.0,0.12,10,7,0,70
gpt-oss_20b,ObfuscationDetectionV1,0.8,1.0,0.11,0.2,0.0,0.11,9,7,0,71
gpt-oss_20b,ObfuscationDetectionV1,0.9,1.0,0.11,0.2,0.0,0.11,9,7,0,71
gpt-oss_20b,ObfuscationDetectionV2,0.1,1.0,0.54,0.7,0.0,0.54,46,9,0,39
gpt-oss_20b,ObfuscationDetectionV2,0.2,1.0,0.49,0.66,0.0,0.49,42,9,0,43
gpt-oss_20b,ObfuscationDetectionV2,0.3,1.0,0.46,0.63,0.0,0.46,39,9,0,46
gpt-oss_20b,ObfuscationDetectionV2,0.4,1.0,0.41,0.58,0.0,0.41,35,9,0,50
