model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
gpt-5-mini,ObfuscationDetectionV2,0.7,1.0,0.33,0.5,0.0,0.33,30,9,0,60,1,10,0.09,6,4,0.6,10,0,1.0,7,3,0.7,2,8,0.2,0,10,0.0,0,10,0.0,3,7,0.3,1,8,0.11
gpt-5-mini,ObfuscationDetectionV2,0.8,1.0,0.18,0.3,0.0,0.18,16,9,0,74,0,11,0.0,3,7,0.3,10,0,1.0,3,7,0.3,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-5-mini,ObfuscationDetectionV2,0.9,1.0,0.12,0.22,0.0,0.12,11,9,0,79,0,11,0.0,0,10,0.0,10,0,1.0,1,9,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-5-mini,ObfuscationDetectionV3,0.1,1.0,1.0,1.0,0.0,1.0,90,9,0,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
gpt-5-mini,ObfuscationDetectionV3,0.2,1.0,0.81,0.9,0.0,0.81,73,9,0,17,9,2,0.82,9,1,0.9,10,0,1.0,10,0,1.0,10,0,1.0,4,6,0.4,7,3,0.7,10,0,1.0,4,5,0.44
gpt-5-mini,ObfuscationDetectionV3,0.3,1.0,0.72,0.84,0.0,0.72,65,9,0,25,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,6,4,0.6,9,1,0.9,4,5,0.44
gpt-5-mini,ObfuscationDetectionV3,0.4,1.0,0.7,0.82,0.0,0.7,63,9,0,27,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,5,5,0.5,9,1,0.9,3,6,0.33
gpt-5-mini,ObfuscationDetectionV3,0.5,1.0,0.62,0.77,0.0,0.62,56,9,0,34,5,6,0.45,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,3,7,0.3,8,2,0.8,2,7,0.22
gpt-5-mini,ObfuscationDetectionV3,0.6,1.0,0.53,0.7,0.0,0.53,48,9,0,42,5,6,0.45,7,3,0.7,10,0,1.0,9,1,0.9,7,3,0.7,0,10,0.0,0,10,0.0,8,2,0.8,2,7,0.22
gpt-5-mini,ObfuscationDetectionV3,0.7,1.0,0.43,0.6,0.0,0.43,39,9,0,51,4,7,0.36,7,3,0.7,10,0,1.0,7,3,0.7,5,5,0.5,0,10,0.0,0,10,0.0,5,5,0.5,1,8,0.11
gpt-5-mini,ObfuscationDetectionV3,0.8,1.0,0.33,0.5,0.0,0.33,30,9,0,60,1,10,0.09,6,4,0.6,10,0,1.0,7,3,0.7,2,8,0.2,0,10,0.0,0,10,0.0,3,7,0.3,1,8,0.11
gpt-5-mini,ObfuscationDetectionV3,0.9,1.0,0.18,0.3,0.0,0.18,16,9,0,74,0,11,0.0,3,7,0.3,10,0,1.0,3,7,0.3,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV1,0.1,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV1,0.2,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV1,0.3,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV1,0.4,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV1,0.5,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV1,0.6,0.92,0.91,0.91,0.78,0.13,80,2,7,8,10,1,0.91,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,6,2,0.75,8,2,0.8,9,1,0.9,8,1,0.89
deepseek-r1_32b,ObfuscationDetectionV1,0.7,0.94,0.51,0.66,0.33,0.18,45,6,3,43,5,6,0.45,5,5,0.5,10,0,1.0,6,4,0.6,6,4,0.6,3,5,0.38,5,5,0.5,4,6,0.4,1,8,0.11
deepseek-r1_32b,ObfuscationDetectionV1,0.8,1.0,0.2,0.34,0.0,0.2,18,9,0,70,3,8,0.27,1,9,0.1,8,2,0.8,1,9,0.1,2,8,0.2,1,7,0.12,2,8,0.2,0,10,0.0,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV1,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,88,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,8,0.0,0,10,0.0,0,10,0.0,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV2,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
deepseek-r1_32b,ObfuscationDetectionV2,0.2,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
